"property_id"|"AG"|"CP"|"DCK"|"DCK2"|"DCKC"|"ENC"|"GAR"|"LA"|"LA1"|"LA2"|"OP"|"OP2"|"OPP"|"PA"|"PAC"|"PTO"|"RMS"|"RSH"|"RSW"|"SPA"|"UTL"|"UTL2"|"WD"|"WDD"|"year_built"|"acres"|"eff_front"|"eff_depth"|"value"
1001|240|0|200|0|0|0|0|1241|0|0|64|0|0|0|0|0|0|0|0|0|0|0|0|0|2001|0.0869|0|0|160860
1002|462|0|0|0|0|0|0|1889|0|0|89|0|0|40|0|0|0|0|0|0|60|0|0|0|1984|0.2363|0|0|210390
1003|455|0|0|0|0|0|0|1712|0|0|280|0|0|99|0|0|0|0|0|0|53|0|0|0|1984|0.1543|56|120|181040
1004|438|0|0|0|0|0|0|1629|0|0|50|0|0|263.5|80|0|0|0|0|0|54|0|0|0|1984|0.1515|55|120|192180
1005|438|0|0|0|0|0|0|1211|0|527|264|0|0|0|0|0|0|0|0|0|0|0|0|0|1984|0.1653|60|120|189430
1006|462|0|0|0|0|0|0|1763.5|0|0|245.5|0|0|116|0|0|0|0|0|0|60|0|0|0|1984|0.1653|60|120|169840
1007|630|0|0|0|0|0|0|1792|0|0|80|0|0|154|0|0|0|0|0|0|0|0|0|0|1993|0.1791|65|120|190070
1008|0|0|0|0|0|0|484|1344|0|980|156|0|0|0|0|0|0|0|0|0|0|0|0|0|1984|0.2069|0|0|211130
1009|541.5|0|228|0|0|0|0|2196.5|0|0|85|0|0|0|0|0|0|80|0|0|0|0|0|0|1993|0.274|0|0|228670
1010|616|0|0|0|0|0|0|2364|0|0|686.5|0|0|0|0|0|0|0|480|1|0|0|0|0|2012|0.3492|0|0|307280
1011|400|0|700|0|0|0|0|1418|0|1836|26|0|98|150|0|0|0|140|0|0|0|0|0|0|1998|0.2196|0|0|271620
1012|400|0|0|0|0|0|0|1452|0|2000|24|0|0|100|0|0|0|0|0|0|0|0|0|0|1997|0.1942|0|0|269480
1013|400|0|0|0|0|0|0|2259|0|0|196|0|0|0|0|0|0|0|0|0|0|0|0|0|1998|0.1944|0|0|227390
1014|379|0|0|0|0|0|0|1583|0|1817|40|0|0|100|0|0|0|0|0|0|0|0|0|0|1999|0.2186|0|0|276000
1015|400|0|542|0|0|0|0|2369|0|0|36|0|0|0|0|0|0|0|0|0|0|0|0|0|2000|0.1947|0|0|229510
1016|420|0|0|0|0|0|0|1565|0|1996|24|0|0|92|0|0|0|0|0|0|0|0|0|0|2000|0.2099|0|0|287770
1017|420|0|0|0|0|0|0|2395|0|0|37|0|0|100|0|0|0|0|0|0|0|0|0|0|1998|0.2093|0|0|235090
1018|380|0|0|0|0|0|0|2006|0|1202|28|0|0|600|0|0|0|0|420|0|0|0|0|0|2001|0.2213|0|0|298190
1019|400|0|0|0|0|0|0|1358|0|1653|264|0|0|0|0|0|0|140|0|0|0|0|0|0|1999|0.2135|0|0|257860
1020|399|0|0|0|0|0|0|1981|0|1205|50|0|0|48|120|0|0|140|0|0|0|0|0|0|1999|0.2097|0|0|269300
1021|532|0|0|0|0|0|0|896|0|1008|115|0|0|432|0|0|1|0|0|0|0|0|0|0|1984|0.1867|0|0|203010
1022|567|0|0|0|0|0|0|1165|0|804|8|0|0|212|0|0|0|0|0|0|0|0|0|0|1984|0.1719|0|0|203850
1023|0|0|0|0|0|0|484|1344|0|980|156|0|0|0|0|0|0|120|0|0|0|0|0|0|1984|0.1896|70|118|204790
1024|560|0|256|0|0|0|0|896|0|1008|44|0|0|160|0|0|0|0|480|1|0|0|0|0|1985|0.2211|0|0|226940
1025|484|0|0|0|0|0|0|1730|0|0|78|0|0|50|0|0|0|0|0|0|0|0|0|0|1984|0.2139|0|0|202440
1026|528|0|0|0|0|208|0|1484|0|0|9|0|0|0|0|0|0|0|0|0|0|0|0|0|1984|0.2029|0|0|183540
1027|559|0|0|0|0|0|0|1531.5|0|0|106|0|0|109.5|0|0|0|0|0|0|80|0|0|0|1984|0.1839|0|0|191540
1028|507|0|0|0|0|0|0|1886|0|0|69.5|0|0|0|0|0|0|0|0|0|60|0|0|0|1984|0.1708|62|120|212380
1029|438|0|0|0|0|0|0|1629|0|0|50|0|0|120|0|0|0|0|0|0|54|0|0|0|1984|0.1653|60|120|193710
1030|484|0|0|0|0|0|0|1238|96|465|48|0|0|300|0|0|0|0|0|0|0|0|0|0|1983|0.1713|0|0|192600
1031|441|0|0|0|0|0|0|1569|0|0|25|0|0|0|168|0|0|0|0|0|0|0|0|0|1983|0.1804|0|0|189980
1032|488|0|200|0|0|0|0|1786|0|0|25|0|0|156|0|0|0|0|0|0|0|0|0|0|1983|0.1653|60|120|205580
1033|420|0|0|0|0|0|0|1838|0|0|20|0|0|90|0|0|0|0|0|0|0|0|0|0|1986|0.1942|0|0|201240
1034|575|0|0|0|0|0|0|1579|0|1209|140|0|0|119|0|540|0|0|0|0|0|0|0|0|1985|0.2116|0|0|255500
1035|462|0|0|0|0|0|0|2499|0|0|181|0|0|0|0|0|0|0|378|1|0|0|0|0|1985|0.2149|0|0|269410
1036|400|0|0|0|0|0|0|1729|0|687|50|0|0|100|0|0|0|0|0|0|0|0|0|0|1985|0.1994|0|0|231050
1037|0|0|210|0|0|0|484|1344|0|980|156|0|0|0|0|0|0|0|0|0|0|0|0|0|1984|0.2316|0|0|230700
1038|420|0|0|0|0|0|0|2139|0|0|304|0|0|0|0|0|0|0|0|0|45|0|0|0|1984|0.1944|70|121|225530
1039|483|0|0|0|0|0|0|1308|0|756|80|0|0|494|0|0|0|0|0|0|0|0|0|0|1983|0.1667|60|121|217390
1040|484|0|0|0|0|0|0|1706|0|0|12|0|0|100|0|0|0|0|0|0|36|0|0|0|1984|0.1605|0|0|192540
